Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód obvodu Prahy;Název obvodu Prahy;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
21690278;554782;Praha;500054;Praha 1;19;Praha 1;490075;Hradèany;482536.0;Hrad I. nádvoøí;è.p.;1;;;11900;744384.54;1042569.73;2017-06-07T00:00:00
21690286;554782;Praha;500054;Praha 1;19;Praha 1;490075;Hradèany;450294.0;Jiøská;è.p.;2;3.0;;11900;744016.88;1042411.79;2017-06-29T00:00:00
21690294;554782;Praha;500054;Praha 1;19;Praha 1;490075;Hradèany;482447.0;námìstí U svatého Jiøí;è.p.;2;1.0;;11900;744100.09;1042446.4;2017-06-29T00:00:00
21690316;554782;Praha;500054;Praha 1;19;Praha 1;490075;Hradèany;475912.0;Úvoz;è.p.;4;38.0;;11800;744879.78;1042678.3;2017-06-29T00:00:00
21690375;554782;Praha;500054;Praha 1;19;Praha 1;490075;Hradèany;480002.0;Zlatá ulièka u Daliborky;è.p.;8;9.0;;11900;743976.74;1042372.36;2017-06-29T00:00:00
21690693;554782;Praha;500054;Praha 1;19;Praha 1;490075;Hradèany;477770.0;Vikáøská;è.p.;37;2.0;;11900;744178.74;1042394.31;2017-06-14T00:00:00
21690731;554782;Praha;500054;Praha 1;19;Praha 1;490075;Hradèany;482552.0;Hrad III. nádvoøí;è.p.;48;2.0;;11900;744274.89;1042480.66;2017-06-29T00:00:00
21690740;554782;Praha;500054;Praha 1;19;Praha 1;490075;Hradèany;474436.0;U Prašného mostu;è.p.;49;2.0;;11800;744332.57;1042274.05;2017-06-29T00:00:00
21690774;554782;Praha;500054;Praha 1;19;Praha 1;490075;Hradèany;455725.0;Mariánské hradby;è.p.;52;1.0;;11800;743845.49;1042143.43;2017-06-14T00:00:00
21690812;554782;Praha;500054;Praha 1;19;Praha 1;490075;Hradèany;448397.0;Hradèanské námìstí;è.p.;56;16.0;;11800;744453.92;1042519.45;2017-06-14T00:00:00
21690910;554782;Praha;500054;Praha 1;19;Praha 1;490075;Hradèany;451363.0;Kanovnická;è.p.;67;2.0;;11800;744635.92;1042464.35;2017-06-29T00:00:00
21690952;554782;Praha;500054;Praha 1;19;Praha 1;490075;Hradèany;473472.0;U kasáren;è.p.;69;4.0;;11800;744711.62;1042447.37;2017-06-29T00:00:00
21690979;554782;Praha;500054;Praha 1;19;Praha 1;490075;Hradèany;449644.0;Jelení;è.p.;71;1.0;;11800;744775.34;1042142.36;2017-06-29T00:00:00
21690987;554782;Praha;500054;Praha 1;19;Praha 1;490075;Hradèany;472930.0;U Brusnice;è.p.;71;4.0;;11800;744777.57;1042151.82;2017-06-29T00:00:00
21691029;554782;Praha;500054;Praha 1;19;Praha 1;490075;Hradèany;462756.0;Novı Svìt;è.p.;76;1.0;;11800;744759.2;1042378.36;2017-06-29T00:00:00
21691045;554782;Praha;500054;Praha 1;19;Praha 1;490075;Hradèany;451428.0;Kapucínská;è.p.;78;4.0;;11800;744805.12;1042385.87;2017-06-29T00:00:00
21691223;554782;Praha;500054;Praha 1;19;Praha 1;490075;Hradèany;445011.0;Èernínská;è.p.;93;10.0;;11800;744992.69;1042257.02;2017-06-29T00:00:00
21691304;554782;Praha;500054;Praha 1;19;Praha 1;490075;Hradèany;454907.0;Loretánské námìstí;è.p.;99;6.0;;11800;744910.36;1042439.78;2013-12-11T00:00:00
