price;usable_area;parking_lots;terrace;balcony;loggia;cellar;low_energy;easy_access;garage;elevator;material_brick;material_panel;Prague_1;Prague_2;Prague_3;Prague_4;Prague_5;Prague_6;Prague_7;Prague_8;Prague_9;floor_ground;floor_above_ground;status_good;status_very_good;status_after_reconstruction;kitchen_separately;nonresidential_unit;fully_furnished;partially_furnished;metadata;image;link
18900.0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;Byt 2+kk;https://d18-a.sdn.cz/d_18/c_img_oV_B/naUHOyYNpCjaT7TICDzzvt/4c0e.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://www.sreality.cz/detail/pronajem/byt/2+kk/praha-liben-davidkova/1662267980
23000.0;90;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;Byt 3+kk;https://d18-a.sdn.cz/d_18/c_img_QM_KI/HA9MQx.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://www.sreality.cz/detail/pronajem/byt/3+kk/praha-smichov-zdikovska/908668252
26000.0;63;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;Byt 3+kk;https://d18-a.sdn.cz/d_18/c_img_oV_B/naUHOyYNpCjaT7WcCFFWTr/c2ef.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://www.sreality.cz/detail/pronajem/byt/3+kk/praha-uhrineves-karla-guta/2182750796
13000.0;32;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;Byt 1+kk;https://d18-a.sdn.cz/d_18/c_img_oV_C/nO1SBfAluiDshGGWxCL1yJk/4d1a.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://www.sreality.cz/detail/pronajem/byt/1+kk/praha-zbraslav-vaclava-rady/1103635020
15500.0;30;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;Byt 1+kk;https://d18-a.sdn.cz/d_18/c_img_oV_B/naUHOyYNpCP7JGavCHPG3S/4bac.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://www.sreality.cz/detail/pronajem/byt/1+kk/praha-holesovice-komunardu/1925718604
29500.0;86;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;Byt 3+kk;https://d18-a.sdn.cz/d_18/c_img_oV_A/nPt0vAiT3tDxFrxuLB9HHBQ/b703.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://www.sreality.cz/detail/pronajem/byt/3+kk/praha-nove-mesto-jecna/403911244
18000.0;53;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;Byt 2+1;https://d18-a.sdn.cz/d_18/c_img_oV_B/kPUxiQtb51BsdpfTVCH7qMx/2936.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://www.sreality.cz/detail/pronajem/byt/2+1/praha-hloubetin-mochovska/983425612
20000.0;50;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;Byt 2+kk;https://d18-a.sdn.cz/d_18/c_img_oV_B/kO7h3dRn21C6WeUUyCFcKmz/5688.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://www.sreality.cz/detail/pronajem/byt/2+kk/praha-vysocany-pod-harfou/3753517644
18000.0;55;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;0;0;Byt 2+1;https://d18-a.sdn.cz/d_18/c_img_oV_A/nPt0vAiT3tNiyXTfCCI3IZ/460a.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://www.sreality.cz/detail/pronajem/byt/2+1/praha-vokovice-kladenska/1102565964
18000.0;38;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;Byt 2+kk;https://d18-a.sdn.cz/d_18/c_img_oV_A/nPt0vAiT3tCObjyUoCAz6qi/9e77.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://www.sreality.cz/detail/pronajem/byt/2+kk/praha-nusle-sekaninova/3938464332
21000.0;53;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;Byt 2+kk;https://d18-a.sdn.cz/d_18/c_img_oV_B/naUHOyYNpSNNDZdCGDifo/1a49.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://www.sreality.cz/detail/pronajem/byt/2+kk/praha-hrdlorezy-mezilehla/3599839820
25500.0;51;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;Byt 2+kk;https://d18-a.sdn.cz/d_18/c_img_oV_C/nO1SBfAluis55qVeCLSYva/5331.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://www.sreality.cz/detail/pronajem/byt/2+kk/praha-holesovice-delnicka/3275092556
18000.0;33;1;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Byt 1+kk;https://d18-a.sdn.cz/d_18/c_img_oV_C/kObgaqJNMnKEQFW2CMApyA/7af8.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://www.sreality.cz/detail/pronajem/byt/1+kk/praha-nusle-muzikova/697049676
36000.0;150;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;Byt 4+1;https://d18-a.sdn.cz/d_18/c_img_oV_C/nO1SBfAluiD9J7zW4CL7gq6/c6ac.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://www.sreality.cz/detail/pronajem/byt/4+1/praha-holesovice-vinarska/2485199436
16500.0;40;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;Byt 1+1;https://d18-a.sdn.cz/d_18/c_img_oV_C/kObgaqJNMnujDqX0CMnLFO/41c0.png?fl=res,400,300,3|shr,,20|jpg,90;https://www.sreality.cz/detail/pronajem/byt/1+1/praha-troja-k-haltyri/297804364
31000.0;67;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;Byt 3+kk;https://d18-a.sdn.cz/d_18/c_img_m4_A/nPt0vAiT3tBh4bTWbBs6wED/6788.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://www.sreality.cz/detail/pronajem/byt/3+kk/praha-vinohrady-manesova/3100688972
